x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
6.4666666667e-02,-1.0166270153e-18,-3.0248991186e-02,3.9106462174e-02,1.0573391212e-03,-2.8490367738e-02,3.6516702082e-02
6.5333333333e-02,-1.0247136458e-18,-3.0800833287e-02,3.9417529561e-02,1.0622060161e-03,-2.9006541196e-02,3.6803175623e-02
6.6000000000e-02,-1.0327542184e-18,-3.1356759799e-02,3.9726825245e-02,1.0669272379e-03,-2.9526463936e-02,3.7087938662e-02
6.6666666667e-02,-1.0407488165e-18,-3.1916747155e-02,4.0034352438e-02,1.0715026239e-03,-3.0050113257e-02,3.7370994883e-02
6.7333333333e-02,-1.0486975237e-18,-3.2480771831e-02,4.0340114346e-02,1.0759320284e-03,-3.0577466506e-02,3.7652347967e-02
6.8000000000e-02,-1.0566004233e-18,-3.3048810343e-02,4.0644114178e-02,1.0802153228e-03,-3.1108501081e-02,3.7932001590e-02
6.8666666667e-02,-1.0644575984e-18,-3.3620839254e-02,4.0946355136e-02,1.0843523952e-03,-3.1643194427e-02,3.8209959422e-02
6.9333333333e-02,-1.0722691325e-18,-3.4196835166e-02,4.1246840424e-02,1.0883431502e-03,-3.2181524039e-02,3.8486225129e-02
7.0000000000e-02,-1.0800351086e-18,-3.4776774726e-02,4.1545573240e-02,1.0921875089e-03,-3.2723467460e-02,3.8760802371e-02
7.0666666667e-02,-1.0877556099e-18,-3.5360634622e-02,4.1842556784e-02,1.0958854087e-03,-3.3269002281e-02,3.9033694804e-02
7.1333333333e-02,-1.0954307196e-18,-3.5948391585e-02,4.2137794250e-02,1.0994368031e-03,-3.3818106144e-02,3.9304906078e-02
7.2000000000e-02,-1.1030605205e-18,-3.6540022390e-02,4.2431288833e-02,1.1028416616e-03,-3.4370756738e-02,3.9574439839e-02
7.2666666667e-02,-1.1106450957e-18,-3.7135503852e-02,4.2723043724e-02,1.1060999693e-03,-3.4926931798e-02,3.9842299727e-02
7.3333333333e-02,-1.1181845281e-18,-3.7734812831e-02,4.3013062112e-02,1.1092117271e-03,-3.5486609112e-02,4.0108489376e-02
7.4000000000e-02,-1.1256789006e-18,-3.8337926228e-02,4.3301347186e-02,1.1121769513e-03,-3.6049766514e-02,4.0373012419e-02
7.4666666667e-02,-1.1331282960e-18,-3.8944820986e-02,4.3587902129e-02,1.1149956735e-03,-3.6616381884e-02,4.0635872480e-02
7.5333333333e-02,-1.1405327969e-18,-3.9555474093e-02,4.3872730127e-02,1.1176679405e-03,-3.7186433154e-02,4.0897073179e-02
7.6000000000e-02,-1.1478924862e-18,-4.0169862576e-02,4.4155834359e-02,1.1201938141e-03,-3.7759898303e-02,4.1156618133e-02
7.6666666667e-02,-1.1552074464e-18,-4.0787963507e-02,4.4437218005e-02,1.1225733707e-03,-3.8336755356e-02,4.1414510951e-02
7.7333333333e-02,-1.1624777602e-18,-4.1409753999e-02,4.4716884241e-02,1.1248067018e-03,-3.8916982388e-02,4.1670755239e-02
7.8000000000e-02,-1.1697035101e-18,-4.2035211207e-02,4.4994836243e-02,1.1268939130e-03,-3.9500557521e-02,4.1925354599e-02
7.8666666667e-02,-1.1768847785e-18,-4.2664312331e-02,4.5271077184e-02,1.1288351247e-03,-4.0087458927e-02,4.2178312625e-02
7.9333333333e-02,-1.1840216480e-18,-4.3297034609e-02,4.5545610233e-02,1.1306304712e-03,-4.0677664821e-02,4.2429632909e-02
8.0000000000e-02,-1.1911142008e-18,-4.3933355324e-02,4.5818438560e-02,1.1322801009e-03,-4.1271153471e-02,4.2679319037e-02
8.0666666667e-02,-1.1981625193e-18,-4.4573251801e-02,4.6089565332e-02,1.1337841763e-03,-4.1867903190e-02,4.2927374590e-02
8.1333333333e-02,-1.2051666857e-18,-4.5216701407e-02,4.6358993712e-02,1.1351428735e-03,-4.2467892337e-02,4.3173803143e-02
